id,nombre,descripcion,categoria,unidad_medida_default,fecha_alta,activo,marca,cantidad_por_unidad,,,,,Precio
100,Luz,Por definir,Pagos,Mes,30/8/2025,t,Por definir,1,,,,,
101,Manteca,Por definir,Suministros,Kg,31/8/2025,t,Por definir,1,,,,,45
102,Manzana,Por definir,Frutas y Verduras,Kg,1/9/2025,t,Por definir,1,,,,,
103,Mayo Vegana,Por definir,Suministros,Lt,2/9/2025,t,Por definir,1,,,,,
104,Mayonesa McCormick con Jugo de Limones 3.4 Kg,Envase de 3.4kg,Suministros,Lt,3/9/2025,t,McCormick,1,,,,,288
105,Miel,Por definir,Suministros,Lt,5/9/2025,t,Por definir,1,,,,,Lt 110
106,Minerva Ipa,Por definir,Cerveza Artesanal,pieza,7/9/2025,t,Por definir,1,,,,,
107,Minerva Stout,Por definir,Cerveza Artesanal,pieza,8/9/2025,t,Por definir,1,,,,,
108,Mezcal Mitre Espadín,Por definir,Mezcal,Ml,9/9/2025,t,Por definir,1,,,,,
109,Negra Modelo,Por definir,Cerveza Comercial,12 Piezas,10/9/2025,t,Por definir,1,,,,,
110,Nopal,Por definir,Frutas y Verduras,pieza,12/9/2025,t,Por definir,1,,,,,2 pz
111,Ocote,Por definir,Suministros,Pieza,14/9/2025,t,Por definir,1,,,,,
112,Oregano,Por definir,Especias y Condimientos,gr,15/9/2025,t,Por definir,1,,,,,
113,Pacífico Clara,Por definir,Cerveza Comercial,24 Piezas,16/9/2025,t,Por definir,1,,,,,
114,Papel Estrasa Rosa,Color Rosa,Desechables,unidad,20/9/2025,t,Por definir,1,,,,,30 rosa
115,Papel Higienico,Por definir,Desechables,Pieza,21/9/2025,t,Kirkland,1,,,,,
116,Paprika,Por definir,Especias y Condimientos,Kg,22/9/2025,t,Por definir,1,,,,,110
117,Mezcal de Pechuga 50°,Por definir,Mezcal,Lt,23/9/2025,t,Por definir,1,,,,,
118,Pepita de Calabaza,Por definir,Especias y Condimientos,Kg,24/9/2025,t,Por definir,1,,,,,140
119,Perejil,Por definir,Especias y Condimientos,Kg,25/9/2025,t,Por definir,1,,,,,
